No_overall,"No in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
1,1,"""Pay It Forward""","December 15, 2011",Sal,1.52[2]
"The Jokers pretend to be eccentric White Castle cashiers, gather signatures in Union Square for causes the other Jokers have written for them, answer tourist questions in Times Square, and act as Costco store employees.
Punishment: Sal must pick up dog poop in the park and hold it for 20 seconds.",,,,,
2,2,"""Butterfly Crime Scene""","December 15, 2011",Sal,1.33[2]
"The group is challenged to apply the most lotion to beach-goers, grab as many groceries from other customers at a grocery store as they can, survey amusement park guests at Six Flags Great Adventure, and pay the least at a frozen yogurt shop.
Punishment: Sal has to make up a song called ""Butterfly Crime Scene"" to sing to hundreds of spectators at a baseball stadium.",,,,,
3,3,"""Unmotivational Speaker""","December 22, 2011",Sal,1.50[3]
"The guys try off-color techniques of impressing women while speed-dating and act as fortune tellers at a boardwalk. Later, they talk to patrons through a bullhorn they can't control and ask surprising questions of people in a pharmacy.
Punishment: Sal poses as a motivational speaker delivering ludicrous methods of work ethics.",,,,,
4,4,"""Boardwalk of Shame""","December 29, 2011",Joe,1.31[4]
"The guys play a game of ""Don't I Know You?"", invade beach-goers' towels, play a humorous word game with customers at a grocery store, and act as salesmen at a car dealership.
Punishment: Joe goes to the boardwalk and has to put a stranger's toe in his mouth.",,,,,
5,5,"""Drawing a Blank""","January 5, 2012",Sal,1.48[5]
"The Jokers act as reporters preparing an interview, caricature artists in a mall, and oddball apartment dwellers looking for roommates, and cut in line for Broadway show tickets.
Punishment: Sal has to pose as a published author and read an excerpt from a brand new book the other Jokers have created for him. However, the book is completely blank and Sal has to make up the excerpt of the book on the spot.",,,,,
6,6,"""Panty Raid""","January 12, 2012",Murr,1.35[6]
"The guys team up to teach karate classes, give interviews from Times Square, persuade shoppers at the pharmacy to not buy products, and give uncomfortable massages on the boardwalk.
Punishment: At the laundromat, Murr must steal a pair of woman's panties and wear them on his head for 10 seconds.",,,,,
7,7,"""Out of TP""","January 19, 2012",Joe,1.61[7]
"The guys analyze handwriting at the mall, steal food from customers' plates at a buffet, teach foreign languages that they do not speak to prospective students, and dance with strangers at the park.
Punishment: Joe sits on the toilet with his pants down at a restaurant and asks for toilet paper in full view of the customers.",,,,,
8,8,"""Who Arted""","January 26, 2012",Q,1.70[8]
"The guys pose as bakery salesmen, focus group analysts, and shoe salesmen, and teach classes at a local gym.
Punishment: Q poses as a photographer/photo-shop artist and must explain many photos to a group of art enthusiasts, with the photos getting increasingly weirder.",,,,,
9,9,"""A Loser Presents""","February 16, 2012",Murr,1.62[9]
"The guys return to White Castle, where Q's dad makes a cameo. Then, they pose as bouncers at a nightclub, read horoscopes at a mall, and give interviews at a train station.
Punishment: Murr must give a presentation to a college class about social networking that the other Jokers created for him.",,,,,
10,10,"""What Did I Eat?""","March 29, 2012",Q,1.27[10]
"The Jokers pose as furniture salesmen, pretend to be very unwelcoming members of a boardwalk welcoming committee, pitch some wacky memoirs to potential readers, and sell jewelry to couples.
Punishment: Q must smell the breaths of strangers until he guesses correctly what they ate.",,,,,
11,11,"""Starfart Macchiato""","March 29, 2012",Murr,1.27[10]
"The lads play another round of ""Don't I Know You?"" with complete strangers, pose as driving school instructors and later shampoo boys at a women's hair salon, and share embarrassing text messages in a waiting room.
Punishment: Murr's laptop at a café makes loud farting noises, irritating the customers. Eventually the patrons leave the room out of annoyance and frustration.",,,,,
12,12,"""Bellydancer""","April 5, 2012",Joe,1.31[11]
"The pranksters take jobs at a garden center, pose as deli employees, ask patrons questions about a drink, and try their luck as CPR instructors.
Punishment: Joe poses as a nightclub belly dancer.",,,,,
13,13,"""Charity Case""","April 12, 2012",Murr,1.84[12]
"The guys pose as puppy dog salesmen, try to start a new baseball chant that has nothing to do with baseball, get donations for a Broadway play that doesn't exist, hold the remote to a toy car they cannot control, and teach golf.
Punishment: Murr has to explain a promotional video for a charity that doesn't exist, while embarrassment comes his way.",,,,,
14,14,"""Theater del Absurdo""","April 19, 2012",Joe,1.71[13]
"The guys raise donations for bizarre charities, eat food off other people's plates at a Chinese restaurant, provide unsolicited advice to shoppers at the Jersey Gardens Mall, and play another round of ""Don't I Know You?"".
Punishment: Joe announces to a packed movie theater that he has had an accident in his pants.",,,,,
15,15,"""Pick a Loser""","April 26, 2012",Q,1.12[14]
"The Jokers eat food out of other people's shopping carts, try to kiss strangers, play word games with people in a bookstore, pose as professional photographers, and invade people's conversations for 30 seconds.
Punishment: Q must pick his nose on the jumbo screen in front of a live audience of baseball stadium spectators.",,,,,
16,16,"""Supercuts""","May 3, 2012","Tie: Joe, Q, Sal, and then Murr",1.51[15]
"The guys utilize a variety of strange objects to mess with customers at a party supply store, nose strangers at a restaurant, try to get signatures for college clubs that don't exist, and behave rudely at elevator etiquette.
Punishment: The guys give each other gag haircuts in the first ever 4-way punishment; Joe gets a mullet, Q gets bright red curls, Sal gets two bleached horns, and Murr's head is entirely shaved except for a little tuft at the front.",,,,,
Season 2 (2012–13),,,,,
[,,,,,
edit,,,,,
],,,,,
"
",,,,,
"No.
overall","No. in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
17,1,"""Elephant in the Room""","September 6, 2012",Sal,1.72[16]
"The Jokers work in a dentist's office, annoy patrons at a movie theater, participate in a crazy photography shoot at a public park for their blogs, and do a Joker vs. Joker challenge telling strangers their humiliating thoughts.
Punishment: Sal must unearth his car keys from a heap of elephant poop. When Sal has suffered enough, it turns out that Joe was holding his keys the entire time.",,,,,
18,2,"""The Stoop Sessions Part 1""","September 13, 2012",clip show,1.52[17]
"The guys review their favorite moments from the past season, and they reveal the most surprising occurrences, the best overall reactions and never-before-seen footage.",,,,,
19,3,"""Art Attack""","September 20, 2012",Murr,1.72[18]
"The guys try get strangers to hold their hands in a park, annoy the patrons at a comic book store, participate in a competitive race down an aisle at a grocery store, and try to get strangers to volunteer their time for an odd event.
Punishment: In revenge for Q's photography punishment in the previous season, Murr has to explain some off-color art pieces the other guys have created for him to a roomful of art fanatics.",,,,,
20,4,"""The Stoop Sessions Part 2""","September 27, 2012",clip show,1.20[19]
"The guys review their favorite moments from season one, and they reveal the most surprising occurrences, the best overall reactions and never-before-seen footage.",,,,,
21,5,"""Strip High Five""","December 13, 2012",Joe and Murr,1.69[20]
"The guys team up to offer inaccurate sensitivity training to strangers, observe surprise celebrities while on the street, and work as rude receptionists in an office.
Punishment: Joe and Murr stand in front of hundreds of strangers and must get a high-five, but for every high-five they don't get, they have to remove an article of clothing, and the punishment doesn't end until one of them is naked. Murr loses the punishment and winds up naked, making Joe the winner.",,,,,
22,6,"""Birds and the Bees""","December 13, 2012",Q,1.87[20]
"The Jokers reveal confidential information in a park, work in a fast food drive-through, and attempt to persuade innocent bystanders to participate in a dance with them.
Punishment: Q has to teach sex education to his parents, under the original impression that he would be teaching a room of 6th grade students.",,,,,
23,7,"""Sound EffeXXX""","December 20, 2012",Sal,1.56[21]
"The guys reveal strange devices to focus groups, attempt to use people as pillows in a park, and try to persuade grocery shoppers not to purchase their wanted items.
Punishment: The guys broadcast sexual noises on Sal's computer in a peaceful café.",,,,,
24,8,"""Do Something To My Face""","December 27, 2012",Joe,1.97[22]
"The Jokers go head-to-head utilizing mall shoppers to mediate their mindless conflicts, complete specialized tasks at an ice cream joint, and start protests for ridiculous causes at a park.
Punishment: As a result of Joe taking the loss on the whole episode, he has to allow strangers to do as they please to his face while trapped in stocks.",,,,,
25,9,"""Psychotic Not-Line""","January 3, 2013",Sal,2.01[23]
"The guys shake hands with department store shoppers, spin ""The Wheel of Doom"" at the park, and work at a hibachi restaurant.
Punishment: Sal poses as a psychic in front of a crowd and the punishment doesn't end until he makes an accurate prediction.",,,,,
26,10,"""The Truth Hurts""","January 10, 2013",Murr,1.75[24]
"The Jokers attempt to successfully find a house-sitter despite the other guys' interventions, convince strangers of the existence of obscure places, get food shoppers to agree about a strange weird word, and play ""Pick Your Poison"" in the park.
Punishment: Murr takes a polygraph exam administered by Daniel Ribacoff that consists of asking Murr personal and humiliating questions in front of students at their old high school.",,,,,
27,11,"""Get Out of Dodge""","January 17, 2013",Murr,1.69[25]
"The guys try to work as optometrists, team up to provide incorrect financial advice, and attempt to secure numerous votes by campaigning on ridiculous political platforms.
Punishment: Murr has to play dodgeball alone against a professional team, while one eye is blindfolded and one hand is covered by an oven mitt, and the punishment does not end until he manages to get a player out.",,,,,
28,12,"""The Love Expert""","January 24, 2013",Joe,1.81[26]
"The guys go head-to-head having debates at the mall, try to teach a dance class, attempt to sell fake tickets to Broadway shows, and get their fitness on at a local gym as personal trainers.
Punishment: Joe gives a talk on relationship issues and must answer ""yes"" to questions supposedly written by the audience; he does not know that the other Jokers have changed the questions.",,,,,
29,13,"""Out of Fashion""","February 7, 2013",Q,2.08[27]
"The guys host a taste test with uncomfortable survey questions afterward, negotiate for worthless items at a flea market, have conversations with strangers at the park for at least 30 seconds, and work as attendants at a gas station.
Punishment: Q hosts a fashion show and must explain clothing designs supposedly created by him such as an extreme goth person with long black hair. Two people leave during the show mid-way and Q, in a face-saving gesture, tries to claim credit for designing their outfits.",,,,,
30,14,"""Scaredy Cat""","February 14, 2013",Sal,1.68[28]
"The jokers test themselves with the terrifying ""Wheel of Doom"", team up to advertise terrible ideas to a bunch of agency professionals, work as custodians at the mall food court, and work at the dentist's office again.
Punishment: Sal's fear of cats is put to the ultimate test when the other Jokers force him to step into a cage full of felines in front of a live crowd under the impression that he is teaching a cat-bonding seminar.",,,,,
31,15,"""Joker vs. Joker""","February 21, 2013",Q and Sal,1.93[29]
"The guys engage in a round of Joker vs. Joker challenges which include giving palm readings, free medical checkups, manicures and pedicures, act as receptionists, pose as pizza restaurant employees, and patrol the beach.
Punishment: Q and Sal play ""Miss and a Swing"", where they attempt to make a basketball shot and for each time they miss, they get whacked in the leg by a 5th grader holding a plastic bat.",,,,,
32,16,"""Down in the Dump""","August 1, 2013",Sal,1.64[30]
"The guys race to see who can slip the most pencils into the pockets of unsuspecting grocery shoppers, guide each other through the park wearing darkened sunglasses, and team up posing as vacation planners with unusual presentations.
Punishment: Sal must locate his brand-new cellphone in an enormous pile of garbage while traveling on a moving barge.",,,,,
33,17,"""Human Piñata""","August 8, 2013",Murr,1.49[31]
"The Jokers compete to enhance inventions made by the other guys, try to get hugs as apologies for things they have ""done"" in the park, and ask strangers for help finding their missing wives at the mall.
Punishment: Murr is elevated by a crane, and must endure getting hit by bats as if he were a Piñata {by children; Joe, Q, and Sal; and Joe's brother-in-law}, the punishment doesn't stop until candy comes out.",,,,,
34,18,"""Sweat the Small Things""","August 15, 2013",Sal,1.61[32]
"The guys teach art classes and test fate with the Dartboard of Destiny at a local bar.
Punishment: Sal is forced to introduce a stress-relieving slideshow presentation. In the demo videos, it turns out that Joe, Murr, and Q broke into Sal's house while he was on vacation and abused everything in the house, ending with pelvic thrusting while naked at the window in front of his neighbors.",,,,,
35,19,"""Film Fail""","August 22, 2013",Q,1.29[33]
"The guys have a race down the aisles while making eye contact with customers at the supermarket, pretend to be podiatrists, and ask for help burying mystery items in the park.
Punishment: Q presents some clips from a short film (directed by the other Jokers) to an audience of movie buffs.",,,,,
36,20,"""Not Safe For Work""","August 29, 2013",Murr,1.34[34]
"The guys perform embarrassing tasks to the word ""Now!"" in the park, team up for fire safety presentations, and have cafe patrons review and rate their dating profiles.
Punishment: Murr is forced to pose nude for a classroom of art enthusiasts.",,,,,
37,21,"""The Alliance""","September 5, 2013",Joe with Sal and Murr,1.41[35]
"The guys compete head-to-head trying to avoid laughing during slide show presentations, search for celebrity look-alikes again in the park, and vote for each other to do horrible challenges using paddles with their names on them.
Punishment: Since Sal, Murr, and Joe formed an alliance against Q and lost to him in the final challenge, they each end up losers in the show's first triple punishment. Their punishment is to answer questions about Q's life while standing on a cliff hanging over a reservoir called ""Q Falls"". Every incorrect answer moves them closer to the edge, and three incorrect answers forces them to jump into the water. The punishment ends when one person is left standing and is officially declared ""Q's best friend"". With Sal and Murr ending up as the losers, Joe wins the challenge in the end and walks away with Q.",,,,,
38,22,"""Everything's Just Rosie""","September 12, 2013",Q,1.28[36]
"The Jokers team up to hit the fast lanes as humiliating bowlers in teams, dump scoops of mashed potatoes onto the plates of restaurant patrons, and go cloud watching with strangers in the park.
Punishment: Q poses as the lead scientist for the made-up science company Quinndustries and goes through a presentation on their achievements before announcing they have successfully completed the first cloning operation. This culminates in a surprise appearance from Rosie O'Donnell who emerges from a vault as Q's so-called ""clone.""",,,,,
39,23,"""Enter the Dragons""","October 24, 2013",Sal and Joe,1.08[37]
"The Jokers complete embarrassing tasks on the mall escalators, whisper ""sweet nothings"" to strangers at the supermarket, and ask offbeat survey questions at the zoo.
Punishment: Sal and Joe must pretend to be a band called ""Senora Lonza,"" actually the name of their high school Spanish teacher, and open for special guests Imagine Dragons.",,,,,
40,24,"""Dog Days of Bummer""","October 31, 2013",Joe,1.17[38]
"The Jokers team up to take turns dipping fries into other peoples food at the mall food court, work at a beachside burger joint, and search for ""Beth"" in the park.
Punishment: Joe must walk his dog while wearing a variety of different humiliating outfits, such as a bee, a cowboy with exposed buttcheeks, and a bride in a wedding dress, until someone comments that he is cuter than his dog.",,,,,
41,25,"""Sorry for Your Loss""","November 7, 2013",Sal,1.23[39]
"The guys go head-to-head tournament style attaching balloons to unsuspecting grocery store shoppers, work at the music store, and go head-to-head fishing for compliments about their unique outfit choices.
Punishment: Since Sal is the most apologetic out of all 4 Jokers, he must do several rude things (such as woofing at a baby and flipping off an old lady) without saying ""sorry"" to anyone.",,,,,
42,26,"""All the Wrong Moves""","November 14, 2013",Q,1.48[40]
"The guys blindly follow each other's humiliating direct ions at a water park, compete head-to-head to sell their ridiculous book ideas, and try to convince unknowing strangers to save their seats in Times Square.
Punishment: Q is forced to perform some of his ""signature moves"" with his own dance group ""Q's Crew"" in front of a live crowd at a baseball stadium.",,,,,
43,27,"""Cyber Buddies""","December 5, 2013",Murr,1.05[41]
"The Jokers work as grocery store cashiers and go head-to-head settling debates in the mall.
Punishment: Murr hosts a computer cleanliness seminar while his laptop is controlled by the other guys, who plant embarrassing things for Murr to find.",,,,,
44,28,"""Trouble Shoot""","December 12, 2013",Q,1.00[42]
"The jokers do and say what they are told at a department store, team up to lead a business luncheon, and try to sell running shoes.
Punishment: Q is sent on a ""video scavenger hunt"" for the season finale, with his arm trapped in a cast, and he must get footage of whatever the Jokers tell him to get, such as a man's nipple and the inside of a Port-a-Potty.",,,,,
Season 3 (2014),,,,,
[,,,,,
edit,,,,,
],,,,,
"
",,,,,
"No.
overall","No. in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
45,1,"""Look Out Below""","January 2, 2014",Murr,1.37[43]
"The Jokers work as bellhops, serve up trouble at a hot dog cart, and go head-to-head presenting odd inventions to a focus group.
Punishment: Under the original impression that all of the guys are teaching skydiving classes as a challenge, Murr is forced to conquer his fear of heights when he has to go skydiving himself.",,,,,
46,2,"""The Great Escape""","January 9, 2014",Joe,1.56[44]
"The guys teach music classes as instructors and go head-to-head participating in a focus group. Murr and Q ask the questions, while Joe and Sal go undercover as group members and provide them with embarrassing answers that Murr and Q wrote, to see if they can get through the whole survey without refusing to say an answer.
Punishment: Posing as ""The Great Nose-ini"" at The Borgata in New Jersey, Joe is bound in a straitjacket, chains, and ropes, and lowered into a tank of water to perform an escape act.",,,,,
47,3,"""Field of Screams""","January 16, 2014",Sal,1.42[45]
"The guys must do dares in the park while attempting to guess the other Jokers' voices on a voice changer, try to get applause while quitting their jobs, and team up for dinosaur presentations.
Punishment: Sal must follow a rope through a cornfield maze and endure several obstacles and scares throughout.",,,,,
48,4,"""Nationals Disaster""","January 23, 2014",Joe,1.90[46]
"The Jokers cause mischief at the grocery store, try to give away items from the ""mystery bag"", and search for ""The Chosen One"" at a food court.
Punishment: Joe pretends to be a gymnast in a roomful of actual gymnasts and must, among other things, perform his ""routine"" in front of everyone.",,,,,
49,5,"""Bonus Footage""","January 30, 2014",clip show,1.25[47]
The Jokers present never-before-seen footage.,,,,,
50,6,"""Toasted""","February 6, 2014",Sal,1.39[48]
"The guys work as waiters at the Carnegie Deli, and Joey Fatone makes a guest appearance, standing in for Q. Then, the guys go head-to-head settling ridiculous debates at another deli.
Punishment: Sal pretends to be a wedding guest and must read a toast the other guys have prepared for him. Unbeknownst to Sal, the bride and groom are in on the joke while the other guests at the wedding are not.",,,,,
51,7,"""Scarytales""","February 13, 2014",Q,1.24[49]
"The Jokers attend a singles' gathering and ask strangers in the park if they can borrow their phones.
Punishment: Q pretends to be a disturbed children's book author and reads to children an increasingly inappropriate story called ""The Remarkable Misadventures of Q the Dung Beetle.""",,,,,
52,8,"""Inside the Vault""","February 20, 2014",clip show,1.15[50]
"The Jokers present footage from the cutting room floor, including a challenge that was never aired, and the reaction of someone being pranked.",,,,,
53,9,"""Bigger in Texas""","March 27, 2014",Q,1.48[51]
"While visiting the Lone Star State, the Jokers team up to teach classes at a dude ranch, sell cowboy boots, and wear blacked-out sunglasses.
Punishment: During the final challenge, believing that Murr would never tell an elderly couple that they remember the Alamo, Q takes a loss on the whole episode in a bet and loses. As a result, he is announced as a horse wrangler at a rodeo. An actual professional enters the arena and ropes Q around the ankles, taking him on a trip through the arena as the crowd mocks him.",,,,,
54,10,"""Snow Way Out""","April 1, 2014",Sal and Murr,1.09
"The guys work at a liquor store, obey commands written for them on deli tickets, and try to get signatures for a made-up holiday.
Punishment: Suspended in a halted ski lift, Sal and Murr are pelted with snowballs and then shot at with paintball guns by Joe and Q.",,,,,
55,11,"""Takes the Cake""","April 10, 2014",Joe,1.07[52]
"The guys do what they are told at a ski lodge, and play the uninvited dinner guest at an Italian restaurant.
Punishment: Joe is dressed up in a sailor's outfit and jumps out of a cake to surprise what he thinks is a bachelorette party, but is really a celebration for army veterans. He must then do and say what he is told by the other Jokers.",,,,,
56,12,"""Anniversary Edition""","April 17, 2014",clip show,1.10[53]
"For the show's three-year anniversary, the guys look back at some never before seen footage.",,,,,
57,13,"""Jokers Playhouse""","May 15, 2014",Murr,1.10[54]
"The guys conduct interviews while the others try to make them laugh from behind a window, and strike up a conversation with people using only a single word at the park.
Punishment: Murr must watch as the other Jokers wreck his apartment on live TV under the guise of being a fake kids' show.",,,,,
58,14,"""Make Womb for Daddy""","May 22, 2014",Q,1.22[55]
"The guys team up to work at a sandwich shop, team up to have each other guess their specific secret tasks at a food court, and repeat a cycle of tasks at the park in a Joker vs. Joker challenge.
Punishment: Q must teach a class about childbirth to a roomful of pregnant women. But halfway through, a nurse enters and hooks Q up to a device that simulates the eight stages of painful child labor.",,,,,
59,15,"""Puncture Perfect""","May 29, 2014",Murr,1.24[56]
